Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Company),Headquarters Regions,Postal Code,Diversity Spotlight,Estimated Revenue Range,Operating Status,Founded Date,Founded Date Precision,Closed Date,Closed Date Precision,Exit Date,Exit Date Precision,Company Type,Website,Twitter,Facebook,LinkedIn,Contact Email,Phone Number,Number of Articles,Actively Hiring,Full Description,Hub Tags,Number of Sub-Orgs,Investor Type,Investment Stage,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Number of Exits,Number of Exits (IPO),Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (in weeks),School Type,School Program,School Method,Number of Enrollments,Number of Founders (Alumni),Industry Groups,Number of Founders,Founders,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Top 5 Investors,Number of Lead Investors,Number of Investors
WiseWindow,https://www.crunchbase.com/organization/wise-window,"Analytics, Business Intelligence, Predictive Analytics, Social Media","Irvine, California, United States",WiseWindow is a syndicated data provider allowing businesses to predict and measure consumer purchasing and behavioral intent in real time.,"2,110,059","Greater Los Angeles Area, West Coast, Western US",92614,,$1M to $10M,Active,2007-01-01,year,,,,,For Profit,http://www.wisewindow.com,,,https://www.linkedin.com/company/wisewindow-inc.,info@wisewindow.com,818-472-5072,1,,"The brainchild of some of the industryâ€™s leading thinkers on cloud computing and  market research, WiseWindow â€“ a syndicated data provider, has patented technology that for the first time allows businesses to predict and measure consumer purchasing and behavioral intent around brands, products, and companies in real-time.  Mass Opinion Business Intelligenceâ„¢ (MOBI) analyzes and classifies the billions of comments made online and distills the information into a pre-defined, structured database.  Through  a combination of  web crawling, artificial intelligence, advanced probabilistic engine and natural language software, MOBI gathers data automatically and continuously in real-time; provides a competitive outlook, allows  businesses to discover  information they werenâ€™t even looking for.",,,,,,,,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Internet Services, Media and Entertainment, Software",,,11-50,1,,2008-12-01,,,,Venture - Series Unknown,,,,Venture - Series Unknown,,,,,,,Tech Coast Angels,,1
People.co,https://www.crunchbase.com/organization/people-co,"Artificial Intelligence (AI), Internet, Internet of Things","New York, New York, United States",People.co  is an online recruiting platform designed to source young talents.,"2,114,729","Greater New York Area, East Coast, Northeastern US",10018,,,Active,2012-01-01,year,,,,,For Profit,http://www.people.co/,,,https://www.linkedin.com/company/people-co/,,,,,"People.Co is a stealth early-stage company based in NYC and backed by some of the world's top investors and currently in private beta with some of the world's most sophisticated companies. Recruiting is broken, and we're trying to fix it -- tackling some immensely challenging, complicated, and fun problems involving big data, social networks, natural language processing, and knowledge graphs, just to name a few.",,,,,,,,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Internet Services, Science and Engineering, Software",,,11-50,1,Seed,2013-04-01,,,,Seed,,,,Seed,,,,,,,Resolute Ventures,,1
Wezr,https://www.crunchbase.com/organization/wezr,"Artificial Intelligence (AI), Environmental Consulting, Machine Learning","Montpellier, Languedoc-Roussillon, France","Wezr is disrupting $500b weather dependent B2B market, delivering hyperlocal real time forecast through AI/deep learning technology","2,118,511","European Union (EU), Europe, Middle East, and Africa (EMEA)",,,,Closed,2013-01-01,year,,none,,,For Profit,https://www.wezr.com,,,https://www.linkedin.com/company/wezr,,,,,"WEZR is disrupting $500b weather dependent B2B market, delivering hyperlocal real time forecast through AI/deep learning technology. Fighter pilot for 20 years Stephane & Vincent have often encountered unexpected weather conditions. With this experience, and convinced of the need to propose a new meteorological service, they have imagined the innovative concept “'WEZR.""​ With them, software developers and weather forecasts engineers, participate in the development of this concept.",,,,,,,,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Professional Services, Science and Engineering, Software",,,1-10,1,Seed,2014-01-01,,,,Seed,,,,Seed,,,,,,,,,
LiveWire Logic,https://www.crunchbase.com/organization/livewire-logic,"Artificial Intelligence (AI), Machine Learning, Sales, Sales Automation","Morrisville, North Carolina, United States",LiveWire Logic provides AI technologies that can conduct human-like conversations to help customers make purchase decisions.,"2,118,987","Research Triangle, East Coast, Southern US",,,,Active,2000-01-01,year,,,,,For Profit,,,,,,,,,"LiveWire Logic provides AI technologies that can conduct human-like conversations to help customers make purchase decisions. It was founded in 2000 and is based in Morrisville, North Carolina.",,,,,,,,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Sales and Marketing, Science and Engineering, Software",,,,2,Early Stage Venture,2004-01-22,1000000,USD,1000000,Series A,1000000,USD,1000000,Series A,3700000,USD,3700000,3700000,USD,3700000,"Gray Ventures, Pappas Capital, Tri-State Investment Group, Research Triangle Ventures, Charlotte Angel Partners",6,8
MadeUp,https://www.crunchbase.com/organization/madeup,"E-Commerce, Fashion, Mobile, NFC, Predictive Analytics","Treviso, Veneto, Italy",MadeUp is the solution for the companies that want to guarantee the authenticity of their product and provide a unique customer experience,"2,122,229","European Union (EU), Europe, Middle East, and Africa (EMEA)",,,$10M to $50M,Active,2014-01-01,year,,,,,For Profit,http://www.made-up.it,https://twitter.com/madeupvision,http://www.facebook.com/pages/MadeUp/1597645083795735,https://www.linkedin.com/company/5359530?trk=tyah&trkInfo=tarId%3A1421315123087%2Ctas%3Amadeup%2Cidx%3A2-1-7,info@made-up.it,(346) 158-0550,4,,"MadeUp is the software and hardware solution for the companies that want to guarantee the authenticity of their product and provide a unique customer experience. By approaching the smartphone to the product, you can access to multimedia contents (photos, videos, texts, links to social) and verify the product authenticity.",,,,,,,,,,,,,,,,,,,"Artificial Intelligence (AI), Clothing and Apparel, Commerce and Shopping, Data and Analytics, Design, Hardware, Mobile, Software",4,"Carlo Carraro, Giorgio Piantella, Luca Menesello, Thomas Berto",1-10,1,Seed,2014-10-22,,,,Seed,,,,Seed,,,,,,,,,
Meolink,https://www.crunchbase.com/organization/meolink,"Enterprise Software, Machine Learning, Service Industry, Software","Casablanca, Grand Casablanca, Morocco",Meolink develops machine-to-machine software products.,"2,158,182","Middle East and North Africa (MENA), North Africa, Europe, Middle East, and Africa (EMEA)",20150,,Less than $1M,Active,2011-01-01,year,,,,,For Profit,http://www.meolink.com/,,,,,212 522 21 81 80,,,Meolink develops machine-to-machine software products. It was founded in 2011.,,,,,,,,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Other, Software",1,Marouane Benyekhlef,1-10,1,Seed,2011-12-30,350000,USD,350000,Seed,350000,USD,350000,Seed,350000,USD,350000,350000,USD,350000,Maroc Numeric Fund,,1
KAICORE,https://www.crunchbase.com/organization/kaicore,"Artificial Intelligence (AI), Software","Prague, Hlavni mesto Praha, Czech Republic",Your personal Artificial Intelligence,"2,172,312","European Union (EU), Europe, Middle East, and Africa (EMEA)",,,,Closed,2012-06-04,day,,none,,,For Profit,http://kaicore.net,,http://www.facebook.com/kaicore,http://www.linkedin.com/company/tidings-,contact@kaicore.net,+420 774 344 377,,,Your personal Artificial Intelligence,,,,,,,,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Science and Engineering, Software",2,"Dmitry Kartashev, Yury Klimov",11-50,1,Seed,2014-01-10,,,,Seed,,,,Seed,,,,,,,,,
Tablefinder,https://www.crunchbase.com/organization/tablefinder,"Artificial Intelligence (AI), Reservations, Restaurants, Search Engine","Gothenburg, Vastra Gotaland, Sweden",Tablefinder is a live search and booking engine that enables users to make restaurant reservations.,"2,185,408","European Union (EU), Nordic Countries, Scandinavia",417 56,,,Closed,2006-03-16,day,,none,,,For Profit,http://www.tablefinder.com,http://twitter.com/tablefinder,,,info@tablefinder.com,+46317805399,5,,Tablefinder is a live search and booking engine for restaurant tables. Users can browse table availability and make restaurant reservations online. Tablefinder participated in [Seedcamp](http://www.crunchbase.com/organization/seedcamp) 2007.,,,,,,,,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Events, Food and Beverage, Internet Services, Media and Entertainment, Science and Engineering, Software",2,"Anders Fredriksson, Tomasz Matuszczyk",1-10,3,Seed,2007-09-07,50000,EUR,68788,Seed,50000,EUR,68788,Seed,400000,EUR,508218,400000,EUR,508218,"Seedcamp, Start Invest, Chalmers Innovation",,3
Clear-Data Analytics,https://www.crunchbase.com/organization/clear-data-analytics,"Analytics, Business Intelligence, Consulting, Predictive Analytics","Noida, Uttar Pradesh, India",Clear-Data Analytics provides companies with marketing and analytics solutions.,"2,198,090",Asia-Pacific (APAC),201301,,,Closed,2013-05-08,day,2018-01-01,year,,,For Profit,http://www.clear-data.in,http://twitter.com/clear_data,,,make.sense@clear-data.in,+919899860345,,,"ClearData Analytics, is a startup that provides pure-play analytics solutions to large businesses. The company uses is a consulting-led approach to understand the areas of decision-gaps and uses data analytics to overcome challenges. ClearData focuses on providing market analytics, enterprise analytics and data visualization as the three dimensions of its solutions portfolio. It helps companies traverse the journey from managing their data, to generating intelligence from it, ultimately providing them predictive and decision-centric insights The company is presently developing applications that help companies implement rapid business intelligence and enables access to BI on-the-go through its own Mobile BI product. To find out more about ClearData, its portfolio of services, engagement approach and the organizational thought process, please visit http://clear-data.in",,,,,,,,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Professional Services, Software",1,Karthik Sridhar,11-50,1,Seed,2013-05-15,100000,USD,100000,Seed,100000,USD,100000,Seed,100000,USD,100000,100000,USD,100000,Sanjay Nagi,,1
Miraiapuri,https://www.crunchbase.com/organization/miraiapuri,"3D Technology, Android, Artificial Intelligence (AI)","Tokyo, Tokyo, Japan",Miraiapuri is an Artificial Intelligence start up.,"2,202,856",Asia-Pacific (APAC),,,,Active,2011-10-05,day,,,,,For Profit,http://miraiapuri.co.jp/,,,,,,,,"Miraiapuri company is an Artificial Intelligence start up who has been developing Android applications quickly, has already expanded its horizons from smartphones to wearables and is developing Android Wear apps.",,,,,,,,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Hardware, Mobile, Platforms, Science and Engineering, Software",,,1-10,1,Seed,2014-03-01,,,,Seed,,,,Seed,,,,,,,Team Cool Japan,1,1
Nudostilo,https://www.crunchbase.com/organization/nudostilo,"Computer Vision, E-Commerce, Fashion, Machine Learning, Personalization","New York, New York, United States",Nudostilo is a social e-commerce platform enabling its users to shop through a personalized market.,"2,219,457","Greater New York Area, East Coast, Northeastern US",,,,Active,2015-07-01,month,,,,,For Profit,http://www.Nudostilo.com,,,,Yarali@nudostilo.com,,,,"Nudostilo is a virtual platform, which unifies image processing and machine learning technologies with online apparel shopping to eliminate its primary problems( No two brands fit the same, doing online shopping alone, lack of personalization...). To make this reality, Nudostilo develops a social Ecommerce platform that enables the users to shop through personalized market based on their own unique body size, where you can curate outfits by interacting with people(friends, family), whose styling opinion matters to you.They can exchange comments and styling ideas, even though they may be in different locations, friends can effectively shop together online.  It allows user to create a photo-realistic model of themselves from just two uploaded photos, in less than a minute. this service virtually assess the size suitability of clothing items by showing the comfort level of the items on the virtual model of users. The platform is based on Direct-To-Consumer model,Items on our website are sold in production price not retail price(four times more). It is time to change the focus back to what really matters: User and Product , and more importantly eliminating the middlemen and the cost that come with them.",,,,,,,,,,,,,,,,,,,"Artificial Intelligence (AI), Clothing and Apparel, Commerce and Shopping, Data and Analytics, Design, Hardware, Software",2,"Ali Farzbod, Matt Yarali",1-10,1,,2015-09-10,,,,Non-equity Assistance,,,,,,,,,,,,,
Flumes,https://www.crunchbase.com/organization/flumes,"Analytics, Business Intelligence, Data Mining, Data Visualization, Predictive Analytics","Ipswich, Suffolk, United Kingdom","Flumes build tools to analyze data, animated infographics, and create visualizations.","2,242,093","Europe, Middle East, and Africa (EMEA)",,,$1M to $10M,Active,2011-01-01,year,,,,,For Profit,http://flumes.com,http://twitter.com/flumesmedia,http://www.facebook.com/flumesmedia,http://www.linkedin.com/company/flumes-media,hello@flumes.com,+02033550614,,,"We turn raw data into knowledge. Whether it’s visual reporting, animated infographics or in depth business intelligence, let us be your data scientists.",,,,,,,,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Design, Information Technology, Software",1,Steve Butterworth,1-10,1,Seed,2011-10-15,50000,GBP,78996,Seed,50000,GBP,78996,Seed,50000,GBP,78996,50000,GBP,78996,,,
Uberblik,https://www.crunchbase.com/organization/uberblik,"Artificial Intelligence (AI), Collaboration, Data Visualization","Berlin, Berlin, Germany",Uberblik is a visual data platform for collaboration between humans and artificial agents.,"2,264,308","European Union (EU), Europe, Middle East, and Africa (EMEA)",,,,Active,,,,,,,For Profit,https://uberblik.com,https://twitter.com/uberbk,https://www.facebook.com/uberblik,,info@uberblik.com,,,,Uberblik is a visual data platform for collaboration between humans and artificial agents.,,,,,,,,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Design, Information Technology, Other, Science and Engineering, Software",,,,1,,2014-11-30,,,,Non-equity Assistance,,,,,,,,,,,VentureOut,1,1
