Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Company)
Echo AI,https://www.crunchbase.com/organization/pathlight,"Artificial Intelligence (AI), Customer Service, Enterprise Software, Generative AI, Internet, Natural Language Processing, Software","Palo Alto, California, United States",The first generative AI-native Conversation Intelligence platform that turns customers feedback into insights.,"53,684"
Dexory,https://www.crunchbase.com/organization/botsandus-ltd,"Artificial Intelligence (AI), Data Visualization, Logistics, Retail Technology, Warehouse Automation, Warehousing","London, England, United Kingdom",Dexory captures real-time insights of warehouse operations using fully autonomous robots and Artificial Intelligence.,"53,783"
Seldon,https://www.crunchbase.com/organization/seldon,"Artificial Intelligence (AI), Machine Learning, Open Source","London, England, United Kingdom",Seldon is a machine learning deployment platform.,"53,870"
Gather AI,https://www.crunchbase.com/organization/gather-ai,"Artificial Intelligence (AI), Data Collection and Labeling, Drones, Robotics, Software, Warehousing","Pittsburgh, Pennsylvania, United States",Gather AI is a provider software-only automated inventory monitoring solutions for modern warehouses.,"54,324"
ABC Fintech,https://www.crunchbase.com/organization/abc-fintech,"Artificial Intelligence (AI), Cloud Management, Enterprise Software, Financial Services, FinTech","Haidian, Beijing, China","ABC Fintech provides AI-driven cloud services company that provides big data, cloud computing, machine learning for financial professionals.","54,390"
Aiver.ai,https://www.crunchbase.com/organization/aiver-inc,"Accounting, Artificial Intelligence (AI), Business Intelligence, Compliance, Data Visualization, Fraud Detection, Information Technology, Machine Learning, Predictive Analytics, Product Management","Mountain View, California, United States",Unlock The Power Of Automation. Automate workflows with AIVER using the power of AI and ML to make the workflows smarter over time.,"54,489"
AQEMIA,https://www.crunchbase.com/organization/aqemia,"Artificial Intelligence (AI), Biotechnology, Generative AI, Life Science, Machine Learning, Pharmaceutical","Paris, Ile-de-France, France",Drug discovery - Pharma 3.0,"54,541"
Tesorio,https://www.crunchbase.com/organization/tesorio,"Finance, Financial Services, FinTech, Machine Learning, Marketing Automation, Software","San Francisco, California, United States",The first connected finance operations platform.,"54,799"
LLVision,https://www.crunchbase.com/organization/llvision,"Apps, Artificial Intelligence (AI), Augmented Reality, Electronics, Enterprise, Enterprise Software, Machine Learning, Software","Beijing, Beijing, China",LLVision focuses on AR+AI technology integration and provides related hardware products and software services.,"55,038"
Bigtincan,https://www.crunchbase.com/organization/bigtincan,"Analytics, Artificial Intelligence (AI), Machine Learning, Sales Automation, Sales Enablement, Software","Waltham, Massachusetts, United States",Bigtincan is a sales enablement automation company that helps brands facilitate the future buying experience.,"55,269"
Speechmatics,https://www.crunchbase.com/organization/speechmatics,"Artificial Intelligence (AI), Information Technology, Software, Speech Recognition","Cambridge, Cambridgeshire, United Kingdom",Speechmatics develops a speech recognition platform that offers accurate speech recognition using an any-context speech recognition engine.,"55,342"
Plai Labs,https://www.crunchbase.com/organization/plai-labs,"Artificial Intelligence (AI), Blockchain, Internet, Machine Learning, Social Media, Social Network, Web Development","Culver City, California, United States","PLAI Labs uses its expertise in social media, game mechanics, and advanced technology to develop social platforms.","55,574"
InfinStor,https://www.crunchbase.com/organization/infinstor,"Artificial Intelligence (AI), Internet, Machine Learning, Software","San Jose, California, United States",Infinstor is the MLOps Operating System. We offer an enterprise grade MLflow service.,"55,749"
LatchBio,https://www.crunchbase.com/organization/latch-ai,"Artificial Intelligence (AI), Bioinformatics, Biopharma, Biotechnology, Machine Learning","San Francisco, California, United States",LatchBio is a biotech research company that provides code-free platform for the biocomputing revolution.,"55,890"
Landing Medical High Technology,https://www.crunchbase.com/organization/wuhan-landing-medical-high-technology,"Artificial Intelligence (AI), Health Care, Health Diagnostics, Medical, Medical Device","Wuhan, Hubei, China",Landing Shares is an AI-driven med-tech firm that develops artificial intelligence cervical cancer screening diagnostic technology.,"56,049"
Aquaconnect,https://www.crunchbase.com/organization/aquaconnect-india,"AgTech, Aquaculture, Artificial Intelligence (AI), FinTech, Seafood","Chennai, Tamil Nadu, India",Aquaconnect is an aquaculture platform that uses AI and satellite remote sensing to decarbonize the seafood value chain.,"56,164"
Amperon,https://www.crunchbase.com/organization/amperon,"Artificial Intelligence (AI), Energy, Test and Measurement","Houston, Texas, United States",Amperon is a provider of a digital smart meter platform that delivers real-time energy data forecasts and analytics.,"56,198"
Matrixtime Robotics,https://www.crunchbase.com/organization/matrixtime-robotics,"3D Technology, Artificial Intelligence (AI), Machine Learning","Minhang, Shanghai, China","Matrixtime Robotics develops deep learning, machine learning, 3D robot vision and AI engineering systems for the manufacturing industry.","56,248"
Fountain Life,https://www.crunchbase.com/organization/fountain-life,"Artificial Intelligence (AI), Health Care, Medical, Wellness","Naples, Florida, United States","Fountain Life is a provider of fully-integrated platforms delivering predictive, preventative, personalized, and data-driven health.","56,247"
Predictix,https://www.crunchbase.com/organization/predictix,"Predictive Analytics, Retail, SaaS, Software","Atlanta, Georgia, United States","Retailers, wholesalers and brands make better forecasting, planning, assortment, pricing, and replenishment decisions with the Predictix","56,304"
Circulor,https://www.crunchbase.com/organization/circulor,"Artificial Intelligence (AI), Blockchain, CleanTech, GreenTech, Supply Chain Management","London, England, United Kingdom",Circulor is a blockchain sustainability company that offers traceability-as-a-service and supply chain solutions for manufacturers.,"56,533"
Descartes Labs,https://www.crunchbase.com/organization/descartes-labs,"Agriculture, Analytics, Artificial Intelligence (AI), Consumer Goods, Geospatial, Government, Image Recognition, Machine Learning, Mining, SaaS","Santa Fe, New Mexico, United States",Enabling a better understanding of the physical world through the scalable analysis of geospatial data.,"56,596"
Orca AI,https://www.crunchbase.com/organization/orca-ai,"Artificial Intelligence (AI), InsurTech, Intelligent Systems, Marine Transportation, Shipping, Software","Tel Aviv-yafo, Tel Aviv, Israel",Orca AI is an Artificial Intelligence company that develops a boat collision avoidance system for the maritime industry.,"56,776"
Arbol,https://www.crunchbase.com/organization/arbol-markets,"Agriculture, AgTech, Artificial Intelligence (AI), Big Data, Blockchain, Information Technology, Insurance, InsurTech, Marketplace, Software","New York, New York, United States",Arbol is a climate risk coverage company that offers solutions to analyze .and mitigate exposure to climate risk.,"56,942"
DeepCardio,https://www.crunchbase.com/organization/deepcardio,"Artificial Intelligence (AI), Health Care, mHealth","Seoul, Seoul-t'ukpyolsi, South Korea",DeepCardio develops artificial intelligence technology to diagnose heart movements.,"57,334"
Sibel Health,https://www.crunchbase.com/organization/sibel-health,"Artificial Intelligence (AI), Health Care, Medical, Medical Device","Niles, Illinois, United States",Sibel Health develops a neonatal epidermal system designed for wireless vital signs monitoring.,"57,442"
Flock,https://www.crunchbase.com/organization/flockcover,"Artificial Intelligence (AI), Automotive, Autonomous Vehicles, Big Data, FinTech, Fleet Management, Insurance, InsurTech, Software","London, England, United Kingdom",London-based insurtech building the world's first fully digital insurance company for connected and autonomous commercial vehicles,"57,916"
Noon - The Social Learning Platform,https://www.crunchbase.com/organization/noon-academy,"E-Learning, EdTech, Education, Predictive Analytics, Social, Tutoring","Riyadh, Ar Riyad, Saudi Arabia",Noon (Noon Academy previously) is loved by 10+ million students in 8 countries.Our goals is to impact 50 million students by 2023.,"57,928"
SpeedBot,https://www.crunchbase.com/organization/speedbot,"Artificial Intelligence (AI), Hardware, Logistics","Hunan, Fujian, China",SpeedBot is positioned as: the most powerful visual brain for 3D visual perception and robot flexible control,"58,080"
TWC,https://www.crunchbase.com/organization/twc-ca9b,"Artificial Intelligence (AI), Consulting, Human Resources","Seoul, Seoul-t'ukpyolsi, South Korea","TWC provides IT solutions, HR, consulting and optimized business operation services by incorporating artificial intelligence.","58,103"
Parallel Domain,https://www.crunchbase.com/organization/parallel-domain,"3D Technology, Autonomous Vehicles, Big Data, Machine Learning, Simulation","San Francisco, California, United States",Parallel Domain is a synthetic data platform for training and testing perception systems.,"58,260"
Phaidra,https://www.crunchbase.com/organization/phaidra,"Artificial Intelligence (AI), Industrial Automation, Information Technology, Machine Learning","Seattle, Washington, United States",Phaidra provides AI and ML solutions to accelerate performance in large-scale industries.,"58,482"
